scanned_at_utc,event_ticker,title,side,n_legs,cost_cents,fees_cents,payout_cents,profit_cents,profit_pct_of_cost,take_cost_cents,dead_legs
2026-09-22T20:46:55+00:00,KXHIGHTTTN-26SEP22,"Highest temperature in Trenton on Sep 22, 2026?",yes-maker,6,33.0,0.0,100.0,67.0,203.03,109.0,4
2026-09-22T20:46:55+00:00,KXLOWTSAN-26SEP23,"Lowest temperature in San Diego on Sep 23, 2026?",yes-maker,6,62.0,0.0,100.0,38.0,61.29,122.0,1
2026-09-22T20:46:55+00:00,KXGDPYEAR-32,US real GDP growth in 2032?,yes-maker,14,63.0,0.0,100.0,37.0,58.73,115.0,1
2026-09-22T20:46:55+00:00,KXLOWTNYC-26SEP22,"Lowest temperature in New York City on Sep 22, 2026?",yes-maker,6,72.0,0.0,100.0,28.0,38.89,124.0,3
2026-09-22T20:46:55+00:00,KXLOWTBOS-26SEP22,"Lowest temperature in Boston on Sep 22, 2026?",yes-maker,6,74.0,0.0,100.0,26.0,35.14,105.0,2
2026-09-22T20:46:55+00:00,KXLOWTDC-26SEP23,"Lowest temperature in Washington DC on Sep 23, 2026?",yes-maker,6,75.0,0.0,100.0,25.0,33.33,121.0,1
2026-09-22T20:46:55+00:00,KXLOWTNYC-26SEP23,"Lowest temperature in New York City on Sep 23, 2026?",yes-maker,6,78.0,0.0,100.0,22.0,28.21,117.0,0
2026-09-22T20:46:55+00:00,KXLOWTOKC-26SEP22,"Lowest temperature in Oklahoma City on Sep 22, 2026?",yes-maker,6,80.0,0.0,100.0,20.0,25.00,114.0,2
2026-09-22T20:46:55+00:00,KXLOWTMIA-26SEP22,"Lowest temperature in Miami on Sep 22, 2026?",yes-maker,6,80.0,0.0,100.0,20.0,25.00,113.0,1
2026-09-22T20:46:55+00:00,KXGDPYEAR-36,US real GDP growth in 2036?,yes-maker,14,82.0,0.0,100.0,18.0,21.95,114.0,0
2026-09-22T20:46:55+00:00,KXGDPYEAR-29,US real GDP growth in 2029?,yes-maker,14,82.0,0.0,100.0,18.0,21.95,129.0,1
2026-09-22T20:46:55+00:00,KXHOUSEWINSTATE-FLD,How many House seats will Democrats win in Florida?,yes-maker,9,83.0,0.0,100.0,17.0,20.48,124.0,1
2026-09-22T20:46:55+00:00,KXHOUSEWINSTATE-AZD,How many House seats will Democrats win in Arizona?,yes-maker,6,84.0,0.0,100.0,16.0,19.05,111.0,1
2026-09-22T20:46:55+00:00,KXLOWTBOS-26SEP23,"Lowest temperature in Boston on Sep 23, 2026?",yes-maker,6,85.0,0.0,100.0,15.0,17.65,124.0,1
2026-09-22T20:46:55+00:00,KXLOWTATL-26SEP22,"Lowest temperature in Atlanta on Sep 22, 2026?",yes-maker,6,85.0,0.0,100.0,15.0,17.65,105.0,3
2026-09-22T20:46:55+00:00,KXHOUSEWINSTATE-PAD,How many House seats will Democrats win in Pennsylvania?,yes-maker,8,86.0,0.0,100.0,14.0,16.28,111.0,3
2026-09-22T20:46:55+00:00,KXLOWTLAX-26SEP23,"Lowest temperature in Los Angeles on Sep 23, 2026?",yes-maker,6,87.0,0.0,100.0,13.0,14.94,119.0,1
2026-09-22T20:46:55+00:00,KXGDPYEAR-30,US real GDP growth in 2030?,yes-maker,14,88.0,0.0,100.0,12.0,13.64,119.0,3
2026-09-22T20:46:55+00:00,KXSOCKEYERUN-27,Bristol Bay sockeye run forecast for 2027,yes-maker,6,88.0,0.0,100.0,12.0,13.64,117.0,1
2026-09-22T20:46:55+00:00,KXLOWTMIA-26SEP23,"Lowest temperature in Miami on Sep 23, 2026?",yes-maker,6,88.0,0.0,100.0,12.0,13.64,120.0,0
