scanned_at_utc,event,ticker,side,price_cents,model_prob,ev_cents,outcome,clv_cents
2026-08-06T14:03:23+00:00,2026-08-06,KXUSEDCARCPI-26AUG12-T178.50,yes,86,0.925,6.5,,
2026-08-06T14:03:23+00:00,2026-08-06,KXSHELTERCPI-26AUG12-T429.0,yes,88,0.935,5.5,,
2026-08-06T14:03:23+00:00,2026-08-06,KXCPINDEX-26AUG12-T333.4,yes,87,0.925,5.5,,
2026-08-06T14:03:23+00:00,2026-08-06,KXCPICOMBO-26JULB-0101,no,86,0.915,5.5,,
2026-08-06T14:03:23+00:00,2026-08-06,KXCPICORE-26JUL-T0.3,no,86,0.905,4.5,,
2026-08-06T14:03:23+00:00,2026-08-06,KXUSPPIYOY-26AUG13-T5.9,no,91,0.940,3.0,,
2026-08-06T14:03:23+00:00,2026-08-06,KXMC-MAR-60,yes,94,0.965,2.5,,
2026-08-06T14:03:23+00:00,2026-08-06,KXECONSTATCPIYOY-26JUL-T3.1,no,95,0.970,2.0,,
2026-08-06T14:03:23+00:00,2026-08-06,KXUSGASCPI-26AUG12-T333,no,91,0.925,1.5,,
2026-08-06T14:03:23+00:00,2026-08-06,KXPOWERKWH-26AUG12-T19.4,yes,96,0.975,1.5,,
2026-08-06T14:03:23+00:00,2026-08-06,KXECONSTATCORECPIYOY-26JUL-T2.3,no,92,0.935,1.5,,
2026-08-06T14:03:23+00:00,2026-08-06,KXALLSVENSKANGAME-26AUG10SIRBRO-BRO,no,91,0.920,1.0,,
2026-08-06T14:03:23+00:00,2026-08-06,KXECONSTATCPICORE-26JUL-T0.0,no,93,0.940,1.0,,
2026-08-06T14:03:23+00:00,2026-08-06,KXAIRFARECPI-26AUG12-T322,no,97,0.980,1.0,,
2026-08-06T14:18:59+00:00,2026-08-06,KXCPICORE-26JUL-T0.6,no,86,0.925,6.5,,
2026-08-06T14:28:44+00:00,2026-08-06,KXCPINDEX-26AUG12-T333.5,yes,85,0.915,6.5,,
2026-08-07T03:26:04+00:00,2026-08-07,KXUSPPIYOY-26AUG13-T5.8,no,85,0.915,6.5,,
2026-08-07T03:26:04+00:00,2026-08-07,KXARMOMINF-26AUG13-T1.2,yes,94,0.965,2.5,,
2026-08-07T05:12:23+00:00,2026-08-07,KXARMOMINF-26AUG13-T1.4,yes,94,0.960,2.0,,
2026-08-07T08:10:10+00:00,2026-08-07,KXBIGBROTHERELIMINATION-26AUG13-TAY,no,93,0.955,2.5,,
2026-08-07T10:47:19+00:00,2026-08-07,KXCOMPANYACTIONTTWO-26-26AUG14,no,85,0.895,4.5,,
2026-08-07T10:47:19+00:00,2026-08-07,KXBIGBROTHERELIMINATION-26AUG13-MEL,no,85,0.895,4.5,,
2026-08-07T12:51:52+00:00,2026-08-07,KXBIGBROTHERELIMINATION-26AUG13-MAL,no,86,0.920,6.0,,
2026-08-07T12:51:52+00:00,2026-08-07,KXUSRETAIL-26AUG14-T-0.4,yes,90,0.930,3.0,,
2026-08-07T12:51:52+00:00,2026-08-07,KXUSRETAIL-26AUG14-T1.0,no,88,0.905,2.5,,
2026-08-07T14:08:59+00:00,2026-08-07,KXDIMAYORGAME-26AUG10JUNPER-PER,no,91,0.920,1.0,,
2026-08-07T15:23:05+00:00,2026-08-07,KXJOBLESSCLAIMS-26AUG13-185000,yes,86,0.885,2.5,,
2026-08-07T16:22:13+00:00,2026-08-07,KXAPRPOTUS-26AUG14-38.9,no,85,0.875,2.5,,
2026-08-07T17:21:16+00:00,2026-08-07,KXARMOMINF-26AUG13-T1.6,yes,90,0.925,2.5,,
2026-08-07T17:21:16+00:00,2026-08-07,KXAPRPOTUS-26AUG14-40.1,no,93,0.950,2.0,,
2026-08-07T17:21:16+00:00,2026-08-07,KXBIGBROTHERELIMINATION-26AUG13-YAS,no,94,0.955,1.5,,
2026-08-07T17:33:32+00:00,2026-08-07,KXGPT-ASTRA-26AUG14,no,94,0.960,2.0,,
2026-08-07T20:05:44+00:00,2026-08-07,KXB200WS-26AUG14-7.000,no,88,0.935,5.5,,
2026-08-07T20:05:44+00:00,2026-08-07,KXH200WS-26AUG14-3.500,yes,95,0.965,1.5,,
2026-08-07T20:05:44+00:00,2026-08-07,KXH100WS-26AUG14-2.000,yes,97,0.980,1.0,,
2026-08-07T21:08:23+00:00,2026-08-07,KXTRYFIRECOOK-27JAN01-26AUG14,no,85,0.875,2.5,,
2026-08-07T21:08:23+00:00,2026-08-07,KXBTC-26AUG1417-B65250,no,90,0.915,1.5,,
2026-08-07T21:08:23+00:00,2026-08-07,KXBRENTW-26AUG1417-T92.99,no,91,0.925,1.5,,
2026-08-07T21:08:23+00:00,2026-08-07,KXH200WS-26AUG14-6.500,no,96,0.975,1.5,,
2026-08-07T21:08:23+00:00,2026-08-07,KXUST10A-26AUG14-T4.83,no,96,0.975,1.5,,
2026-08-07T21:08:23+00:00,2026-08-07,KXA100WS-26AUG14-1.250,no,95,0.960,1.0,,
2026-08-07T22:04:37+00:00,2026-08-07,KXBTCD-26AUG1417-T69499.99,no,96,0.975,1.5,,
2026-08-07T22:04:37+00:00,2026-08-07,KXBTC-26AUG1417-B64750,no,90,0.910,1.0,,
2026-08-07T22:04:37+00:00,2026-08-07,KXBRENTW-26AUG1417-T96.99,no,95,0.960,1.0,,
2026-08-07T23:04:15+00:00,2026-08-07,KXB200WS-26AUG14-7.500,no,96,0.975,1.5,,
2026-08-07T23:04:15+00:00,2026-08-07,KXGOLDW-26AUG1417-T4509.99,no,88,0.890,1.0,,
2026-08-07T23:04:15+00:00,2026-08-07,KXETH-26AUG1417-B2040,no,93,0.940,1.0,,
2026-08-07T23:04:15+00:00,2026-08-07,KXBRENTW-26AUG1417-T94.99,no,93,0.940,1.0,,
2026-08-07T23:57:07+00:00,2026-08-07,KXRTX5090WS-26AUG14-0.450,yes,91,0.925,1.5,,
2026-08-07T23:57:07+00:00,2026-08-07,KXWTIWHEN-65-26AUG14,no,94,0.955,1.5,,
2026-08-07T23:57:07+00:00,2026-08-07,KXETHD-26AUG1417-T2059.99,no,91,0.920,1.0,,
2026-08-08T04:34:06+00:00,2026-08-08,KXCONMEBOLLIBGAME-26AUG12PALCPO-CPO,no,91,0.920,1.0,,
2026-08-08T06:41:58+00:00,2026-08-08,KXSOLE-26AUG1417-B74,no,87,0.895,2.5,,
2026-08-08T21:31:11+00:00,2026-08-08,KXCFLSPREAD-26AUG08EDMMTL-MTL7,yes,85,0.870,2.0,,
2026-08-08T21:31:11+00:00,2026-08-08,KXUECLTOTAL-26AUG13TOBPAR-1,yes,94,0.955,1.5,,
2026-08-08T23:15:51+00:00,2026-08-08,KXUECLGAME-26AUG13NJAVAL-VAL,no,93,0.955,2.5,,
2026-08-08T23:15:51+00:00,2026-08-08,KXNFLTOTAL-26AUG13DETCIN-57,no,85,0.875,2.5,,
