scanned_at_utc,event,ticker,side,price_cents,model_prob,ev_cents,outcome,clv_cents
2026-08-07T17:24:21+00:00,KXWNBA-26,KXWNBA-26-PHX,yes,1,0.698,68.7,,
2026-08-07T17:24:21+00:00,KXWNBA-26,KXWNBA-26-ATL,yes,8,0.667,58.2,,
2026-08-07T17:24:21+00:00,KXWNBA-26,KXMLBTOTAL-26AUG072010CHCKC-12,no,67,0.768,8.2,win (+33c),+32
2026-08-07T17:24:21+00:00,KXWNBA-26,KXMLBTOTAL-26AUG071905ATLNYY-11,no,71,0.788,6.4,win (+29c),+28
2026-08-08T01:37:01+00:00,KXMLBTOTAL-26AUG082010LADAZ,KXMLBTOTAL-26AUG082010LADAZ-11,no,66,0.738,6.3,win (+34c),+33
2026-08-08T01:37:01+00:00,KXMLBTOTAL-26AUG082010LADAZ,KXMLBTOTAL-26AUG081610LAAMIA-11,no,71,0.786,6.1,win (+29c),+28
2026-08-09T01:15:51+00:00,KXMLBTOTAL-26AUG091410CHCKC,KXMLBTOTAL-26AUG091410CHCKC-13,no,69,0.790,8.5,win (+31c),+30
2026-08-09T01:15:51+00:00,KXMLBTOTAL-26AUG091410CHCKC,KXMLBTOTAL-26AUG091340LAAMIA-11,no,67,0.749,6.3,loss (-67c),-66
2026-08-10T22:34:55+00:00,KXMLBTOTAL-26AUG111940CINCWS,KXMLBTOTAL-26AUG111940CINCWS-11,no,71,0.785,6.0,win (+29c),+28
2026-08-10T23:29:42+00:00,KXMLBTOTAL-26AUG111915NYMATL,KXMLBTOTAL-26AUG111915NYMATL-11,no,68,0.758,6.3,win (+32c),+31
2026-08-10T23:29:42+00:00,KXMLBTOTAL-26AUG111915NYMATL,KXMLBTOTAL-26AUG111940CINCWS-11,no,71,0.785,6.0,win (+29c),+28
2026-08-11T00:02:31+00:00,KXMLBTOTAL-26AUG111940BALMIN,KXMLBTOTAL-26AUG111940BALMIN-12,no,69,0.776,7.1,win (+31c),+30
2026-08-11T00:02:31+00:00,KXMLBTOTAL-26AUG111940BALMIN,KXMLBTOTAL-26AUG111945PHISTL-11,no,70,0.781,6.6,win (+30c),+29
2026-08-11T02:34:07+00:00,KXMLBTOTAL-26AUG111940BALMIN,KXMLBTOTAL-26AUG111940BALMIN-12,no,69,0.776,7.1,win (+31c),+30
2026-08-11T02:34:07+00:00,KXMLBTOTAL-26AUG111940BALMIN,KXMLBTOTAL-26AUG111845CHCWSH-12,no,71,0.793,6.9,loss (-71c),-70
2026-08-11T04:15:25+00:00,KXMLBTOTAL-26AUG111940BALMIN,KXMLBTOTAL-26AUG111940BALMIN-12,no,69,0.776,7.1,win (+31c),+30
2026-08-11T04:15:25+00:00,KXMLBTOTAL-26AUG111940BALMIN,KXMLBTOTAL-26AUG111845CHCWSH-12,no,71,0.793,6.9,loss (-71c),-70
2026-08-11T05:34:23+00:00,KXMLBTOTAL-26AUG111940BALMIN,KXMLBTOTAL-26AUG111940BALMIN-12,no,69,0.776,7.1,win (+31c),+30
2026-08-11T05:34:23+00:00,KXMLBTOTAL-26AUG111940BALMIN,KXMLBTOTAL-26AUG111945PHISTL-11,no,70,0.781,6.6,win (+30c),+29
2026-08-11T06:57:21+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112138TEXLAA-8,yes,64,0.731,7.5,loss (-64c),-63
2026-08-11T06:57:21+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112210KCLAD-11,no,70,0.787,7.2,win (+30c),+29
2026-08-11T08:09:54+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112138TEXLAA-8,yes,64,0.731,7.5,loss (-64c),-63
2026-08-11T08:09:54+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112210KCLAD-11,no,70,0.787,7.2,win (+30c),+29
2026-08-11T09:29:19+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112138TEXLAA-8,yes,64,0.731,7.5,loss (-64c),-63
2026-08-11T09:29:19+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112210KCLAD-11,no,70,0.787,7.2,win (+30c),+29
2026-08-11T10:26:59+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112138TEXLAA-8,yes,64,0.731,7.5,loss (-64c),-63
2026-08-11T10:26:59+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112210KCLAD-11,no,70,0.787,7.2,win (+30c),+29
2026-08-11T11:14:11+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112138TEXLAA-8,yes,64,0.731,7.5,loss (-64c),-63
2026-08-11T11:14:11+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112210KCLAD-11,no,70,0.787,7.2,win (+30c),+29
2026-08-11T12:07:34+00:00,KXMLBTOTAL-26AUG112210KCLAD,KXMLBTOTAL-26AUG112210KCLAD-11,no,70,0.787,7.2,win (+30c),+29
2026-08-11T12:07:34+00:00,KXMLBTOTAL-26AUG112210KCLAD,KXMLBTOTAL-26AUG111940BALMIN-12,no,69,0.776,7.1,win (+31c),+30
